milestone,table_name,locked_source_file,locked_grain_fields,locked_row_count,locked_grain_status,analytical_anchor_disposition,fanout_status_from_4_0_3_B,preaggregation_disposition_from_4_0_3_B,profiled_path_participation_rows_from_4_0_3_C,source_role_path_rows,target_role_path_rows,full_match_path_rows,partial_match_path_rows,no_match_path_rows,fanout_risk_path_rows,target_duplicate_warning_path_rows,construction_readiness_evidence,construction_decision,analytical_dataset_constructed,constructed_dataset_path,construction_decision_reason,deferred_to
4.0.3-D,notification_logs,data\cleaned_repair_20260919_234736_physical_identity_v3_2_0455f0e5\notification_logs.csv,id,7592,FULLY_POPULATED_UNIQUE_KEY,RELATIONSHIP_REVIEW_REQUIRED,MULTI_RELATIONSHIP_REVIEW,PRE_AGGREGATION_REVIEW_REQUIRED,2,2,0,0,0,2,0,0,REQUIRES_DOWNSTREAM_CONTRACT_AND_RELATIONSHIP_REVIEW,NOT_CONSTRUCTED_NO_APPROVED_ANALYTICAL_DATASET_CONTRACT,False,NONE,"No specific analytical purpose, business question, measure set, dimensional scope, inclusion/exclusion rule set, or approved dataset contract exists yet. Constructing a dataset now would convert structural candidates into unsupported business artifacts.",Milestone 5 business analytics / future dataset contract approval
4.0.3-D,order_items,data\cleaned_repair_20260919_234736_physical_identity_v3_2_0455f0e5\order_items.csv,order_item_id,374,FULLY_POPULATED_UNIQUE_KEY,RELATIONSHIP_REVIEW_REQUIRED,MULTI_RELATIONSHIP_REVIEW,PRE_AGGREGATION_REVIEW_REQUIRED,5,3,2,5,0,0,0,0,REQUIRES_DOWNSTREAM_CONTRACT_AND_RELATIONSHIP_REVIEW,NOT_CONSTRUCTED_NO_APPROVED_ANALYTICAL_DATASET_CONTRACT,False,NONE,"No specific analytical purpose, business question, measure set, dimensional scope, inclusion/exclusion rule set, or approved dataset contract exists yet. Constructing a dataset now would convert structural candidates into unsupported business artifacts.",Milestone 5 business analytics / future dataset contract approval
4.0.3-D,orders,data\cleaned_repair_20260919_234736_physical_identity_v3_2_0455f0e5\orders.csv,order_id,374,FULLY_POPULATED_UNIQUE_KEY,RELATIONSHIP_REVIEW_REQUIRED,MULTI_RELATIONSHIP_REVIEW,PRE_AGGREGATION_REVIEW_REQUIRED,14,4,10,12,0,2,0,0,REQUIRES_DOWNSTREAM_CONTRACT_AND_RELATIONSHIP_REVIEW,NOT_CONSTRUCTED_NO_APPROVED_ANALYTICAL_DATASET_CONTRACT,False,NONE,"No specific analytical purpose, business question, measure set, dimensional scope, inclusion/exclusion rule set, or approved dataset contract exists yet. Constructing a dataset now would convert structural candidates into unsupported business artifacts.",Milestone 5 business analytics / future dataset contract approval
4.0.3-D,shipment_items,data\cleaned_repair_20260919_234736_physical_identity_v3_2_0455f0e5\shipment_items.csv,shipment_item_id,352,FULLY_POPULATED_UNIQUE_KEY,RELATIONSHIP_REVIEW_REQUIRED,MULTI_RELATIONSHIP_REVIEW,PRE_AGGREGATION_REVIEW_REQUIRED,3,3,0,3,0,0,0,0,REQUIRES_DOWNSTREAM_CONTRACT_AND_RELATIONSHIP_REVIEW,NOT_CONSTRUCTED_NO_APPROVED_ANALYTICAL_DATASET_CONTRACT,False,NONE,"No specific analytical purpose, business question, measure set, dimensional scope, inclusion/exclusion rule set, or approved dataset contract exists yet. Constructing a dataset now would convert structural candidates into unsupported business artifacts.",Milestone 5 business analytics / future dataset contract approval
4.0.3-D,shipment_booking,data\cleaned_repair_20260919_234736_physical_identity_v3_2_0455f0e5\shipment_booking.csv,shipment_booking_id,348,FULLY_POPULATED_UNIQUE_KEY,RELATIONSHIP_REVIEW_REQUIRED,MULTI_RELATIONSHIP_REVIEW,PRE_AGGREGATION_REVIEW_REQUIRED,8,3,5,3,0,5,0,0,REQUIRES_DOWNSTREAM_CONTRACT_AND_RELATIONSHIP_REVIEW,NOT_CONSTRUCTED_NO_APPROVED_ANALYTICAL_DATASET_CONTRACT,False,NONE,"No specific analytical purpose, business question, measure set, dimensional scope, inclusion/exclusion rule set, or approved dataset contract exists yet. Constructing a dataset now would convert structural candidates into unsupported business artifacts.",Milestone 5 business analytics / future dataset contract approval
4.0.3-D,payments,data\cleaned_repair_20260919_234736_physical_identity_v3_2_0455f0e5\payments.csv,payment_id,337,FULLY_POPULATED_UNIQUE_KEY,RELATIONSHIP_REVIEW_REQUIRED,MULTI_RELATIONSHIP_REVIEW,PRE_AGGREGATION_REVIEW_REQUIRED,2,0,2,2,0,0,0,0,REQUIRES_DOWNSTREAM_CONTRACT_AND_RELATIONSHIP_REVIEW,NOT_CONSTRUCTED_NO_APPROVED_ANALYTICAL_DATASET_CONTRACT,False,NONE,"No specific analytical purpose, business question, measure set, dimensional scope, inclusion/exclusion rule set, or approved dataset contract exists yet. Constructing a dataset now would convert structural candidates into unsupported business artifacts.",Milestone 5 business analytics / future dataset contract approval
4.0.3-D,invoices,data\cleaned_repair_20260919_234736_physical_identity_v3_2_0455f0e5\invoices.csv,id,320,FULLY_POPULATED_UNIQUE_KEY,RELATIONSHIP_REVIEW_REQUIRED,MULTI_RELATIONSHIP_REVIEW,PRE_AGGREGATION_REVIEW_REQUIRED,9,6,3,4,0,5,0,1,REQUIRES_TARGET_DUPLICATE_REVIEW_BEFORE_JOIN_CONSTRUCTION,NOT_CONSTRUCTED_NO_APPROVED_ANALYTICAL_DATASET_CONTRACT,False,NONE,"No specific analytical purpose, business question, measure set, dimensional scope, inclusion/exclusion rule set, or approved dataset contract exists yet. Constructing a dataset now would convert structural candidates into unsupported business artifacts.",Milestone 5 business analytics / future dataset contract approval
4.0.3-D,payment_receipts,data\cleaned_repair_20260919_234736_physical_identity_v3_2_0455f0e5\payment_receipts.csv,id,246,FULLY_POPULATED_UNIQUE_KEY,RELATIONSHIP_REVIEW_REQUIRED,MULTI_RELATIONSHIP_REVIEW,PRE_AGGREGATION_REVIEW_REQUIRED,2,1,1,1,0,1,0,0,REQUIRES_DOWNSTREAM_CONTRACT_AND_RELATIONSHIP_REVIEW,NOT_CONSTRUCTED_NO_APPROVED_ANALYTICAL_DATASET_CONTRACT,False,NONE,"No specific analytical purpose, business question, measure set, dimensional scope, inclusion/exclusion rule set, or approved dataset contract exists yet. Constructing a dataset now would convert structural candidates into unsupported business artifacts.",Milestone 5 business analytics / future dataset contract approval
4.0.3-D,hub_inventory_units,data\cleaned_repair_20260919_234736_physical_identity_v3_2_0455f0e5\hub_inventory_units.csv,hub_inventory_unit_id,237,FULLY_POPULATED_UNIQUE_KEY,RELATIONSHIP_REVIEW_REQUIRED,MULTI_RELATIONSHIP_REVIEW,PRE_AGGREGATION_REVIEW_REQUIRED,2,1,1,1,0,1,0,0,REQUIRES_DOWNSTREAM_CONTRACT_AND_RELATIONSHIP_REVIEW,NOT_CONSTRUCTED_NO_APPROVED_ANALYTICAL_DATASET_CONTRACT,False,NONE,"No specific analytical purpose, business question, measure set, dimensional scope, inclusion/exclusion rule set, or approved dataset contract exists yet. Constructing a dataset now would convert structural candidates into unsupported business artifacts.",Milestone 5 business analytics / future dataset contract approval
4.0.3-D,payment_transactions,data\cleaned_repair_20260919_234736_physical_identity_v3_2_0455f0e5\payment_transactions.csv,id,191,FULLY_POPULATED_UNIQUE_KEY,APPROVED_ANCHOR_CANDIDATE,NO_RELATIONSHIP_FANOUT_EVIDENCE,NO_PREAGGREGATION_EVIDENCE_YET,0,0,0,0,0,0,0,0,READY_FOR_SINGLE_SOURCE_OR_CONTRACT_DESIGN_REVIEW,NOT_CONSTRUCTED_NO_APPROVED_ANALYTICAL_DATASET_CONTRACT,False,NONE,"No specific analytical purpose, business question, measure set, dimensional scope, inclusion/exclusion rule set, or approved dataset contract exists yet. Constructing a dataset now would convert structural candidates into unsupported business artifacts.",Milestone 5 business analytics / future dataset contract approval
